pattern_id,origin,destination,station_count,service_count,is_circular,is_shuttle,has_reverse,reverse_pattern_id
SP000118,CDF,CNM,8,30,False,False,True,SP001506
SP000119,YMH,LYP,2,36,False,True,True,SP000130
SP000120,OXF,MYB,17,3,False,False,True,SP000313
SP000121,LIV,CLE,31,2,False,False,False,
SP000122,HUL,HFX,15,30,False,False,True,SP000112
SP000123,TON,TBW,3,8,False,False,True,SP003278
SP000124,MYB,BSW,25,15,False,False,True,SP000067
SP000125,WGW,MCV,12,6,False,False,False,
SP000126,LIV,CLE,32,2,False,False,False,
SP000127,WOF,BRI,11,22,False,False,True,SP000522
SP000128,LIV,CLE,33,2,False,False,False,
SP000129,PAD,WOF,20,2,False,False,True,SP003438
SP000130,LYP,YMH,2,36,False,True,True,SP000119
SP000131,RAI,LUT,45,1,False,False,False,
SP000132,GIR,AYR,3,10,False,False,True,SP001943
SP000133,LIV,CLE,35,2,False,False,False,
SP000134,DDG,WOF,23,22,False,False,False,
SP000135,WOS,BRI,10,4,False,False,True,SP000033
SP000136,LIV,OXN,11,2,False,False,True,SP000161
SP000137,BAL,EGR,13,70,False,False,True,SP000143
SP000138,WHP,RAI,32,3,False,False,True,SP002289
SP000139,TRI,EUS,9,50,False,False,True,SP000212
SP000140,YRK,KGX,19,13,False,False,False,
SP000141,WRU,MYB,7,8,False,False,True,SP000667
SP000142,PCN,GLC,7,61,False,False,True,SP000546
SP000143,EGR,BAL,13,70,False,False,True,SP000137
SP000144,GLT,EDB,14,6,False,False,True,SP003358
SP000145,MYB,WRU,7,2,False,False,False,
SP000146,GRK,GLC,16,28,False,False,True,SP002323
SP000147,GLC,LIV,19,2,False,False,False,
SP000148,CLH,MCV,13,30,False,False,True,SP000474
SP000149,EDB,MIA,22,14,False,False,True,SP000189
SP000150,IBS,ULP,2,4,False,True,True,SP001335
SP000151,WSL,WVH,20,62,False,False,True,SP001385
SP000152,GLT,EDB,11,2,False,False,False,
SP000153,DID,PAD,11,66,False,False,True,SP000105
SP000154,HGS,CST,21,1,False,False,False,
SP000155,HLC,EDB,36,10,False,False,True,SP000559
SP000156,GLC,GLC,12,38,True,False,True,SP002685
SP000157,LAN,MIA,10,2,False,False,True,SP003292
SP000158,NNG,PBO,10,2,False,False,False,
SP000159,BBN,BPN,11,2,False,False,False,
SP000160,SHF,LDS,13,36,False,False,True,SP000370
SP000161,OXN,LIV,11,2,False,False,True,SP000136
SP000162,PBO,LCN,6,26,False,False,True,SP000166
SP000163,GLC,LIV,19,4,False,False,True,SP000192
SP000164,SAV,WOS,36,6,False,False,False,
SP000165,GLC,EKL,10,40,False,False,True,SP000167
SP000166,LCN,PBO,6,28,False,False,True,SP000162
SP000167,EKL,GLC,10,50,False,False,True,SP000165
SP000168,MYB,BAN,15,6,False,False,True,SP000043
SP000169,BPN,YRK,18,25,False,False,True,SP000173
SP000170,HGS,CST,26,2,False,False,True,SP000185
SP000171,EKL,GLC,9,26,False,False,True,SP002006
SP000172,GLC,MIA,22,10,False,False,True,SP000205
SP000173,YRK,BPN,18,22,False,False,True,SP000169
SP000174,HGS,CST,22,2,False,False,True,SP000180
SP000175,DDG,WOF,26,2,False,False,False,
SP000176,DID,PAD,17,1,False,False,False,
SP000177,ORP,CST,12,66,False,False,True,SP001064
SP000178,LEV,EDB,13,35,False,False,True,SP003396
SP000179,BAN,PAD,11,2,False,False,True,SP004476
SP000180,CST,HGS,22,4,False,False,True,SP000174
SP000181,SAV,WOF,26,14,False,False,True,SP001483
SP000182,NTN,GLC,11,38,False,False,True,SP000186
SP000183,LET,KGX,15,22,False,False,False,
SP000184,PAD,HFD,26,6,False,False,True,SP002864
SP000185,CST,HGS,26,2,False,False,True,SP000170
SP000186,GLC,NTN,11,36,False,False,True,SP000182
SP000187,KGX,LET,14,25,False,False,True,SP003806
SP000188,BPN,YRK,17,2,False,False,False,
SP000189,MIA,EDB,22,16,False,False,True,SP000149
SP000190,ORP,LUT,33,14,False,False,True,SP001677
SP000191,MKC,EUS,17,62,False,False,True,SP002327
SP000192,LIV,GLC,19,4,False,False,True,SP000163
SP000193,XCN,EDB,2,5,False,True,True,SP003645
SP000194,MYB,HWY,12,6,False,False,True,SP000201
SP000195,EUS,NMP,19,2,False,False,False,
SP000196,RDC,FOK,19,64,False,False,True,SP001193
SP000197,YRK,BPN,19,6,False,False,False,
SP000198,PAD,WOS,18,2,False,False,True,SP003811
SP000199,MYB,BSW,26,1,False,False,False,
SP000200,NEI,GLC,11,74,False,False,True,SP000202
SP000201,HWY,MYB,12,6,False,False,True,SP000194
SP000202,GLC,NEI,11,74,False,False,True,SP000200
SP000203,XCN,HNW,7,2,False,False,False,
SP000204,SRY,FST,17,77,False,False,True,SP002549
SP000205,MIA,GLC,22,12,False,False,True,SP000172
SP000206,OXF,MYB,16,3,False,False,True,SP000227
SP000207,HBD,YRK,12,2,False,False,False,
SP000208,EDB,KIN,10,2,False,False,False,
SP000209,LIV,GLC,20,2,False,False,False,
SP000210,BDC,BDC,1,7,True,False,True,SP000210
SP000211,AYW,BNG,7,12,False,False,True,SP000237
SP000212,EUS,TRI,9,48,False,False,True,SP000139
SP000213,MIA,BIF,24,19,False,False,True,SP003102
SP000214,DLW,DEE,4,2,False,False,False,
SP000215,SRA,BIS,12,16,False,False,True,SP001264
SP000216,GLQ,STG,6,2,False,False,True,SP004139
SP000217,GER,MYB,9,4,False,False,False,
SP000218,DOG,BNG,5,2,False,False,True,SP000255
SP000219,KYL,KYL,1,2,True,False,True,SP000219
SP000220,OBN,OBN,5,1,True,False,True,SP000220
SP000221,WFH,EUS,15,146,False,False,True,SP000343
SP000222,SSD,LST,12,134,False,False,True,SP002088
SP000223,WNC,SLO,2,110,False,True,True,SP000007
SP000224,GLC,NTN,10,36,False,False,True,SP000229
SP000225,KYL,CAG,2,2,False,True,False,
SP000226,BMO,MYB,25,1,False,False,True,SP004257
SP000227,MYB,OXF,16,8,False,False,True,SP000206
SP000228,PNZ,SIV,5,2,False,False,True,SP000849
SP000229,NTN,GLC,10,34,False,False,True,SP000224
SP000230,HWY,MYB,8,5,False,False,False,
SP000231,NOT,NRW,23,1,False,False,False,
SP000232,AYW,CFS,6,2,False,False,True,SP000236
SP000233,SIV,SER,4,22,False,False,True,SP000247
SP000234,SHF,LDS,13,34,False,False,True,SP001114
SP000235,MYB,HWY,11,4,False,False,True,SP004577
SP000236,CFS,AYW,6,2,False,False,True,SP000232
SP000237,BNG,AYW,7,12,False,False,True,SP000211
SP000238,SER,SIV,5,2,False,False,True,SP000254
SP000239,EDB,DBL,12,76,False,False,True,SP000250
SP000240,MYB,BSW,26,1,False,False,False,
SP000241,MIA,WDM,19,4,False,False,True,SP000765
SP000242,LAR,GLC,15,34,False,False,True,SP000245
SP000243,GLC,GRK,10,50,False,False,True,SP002097
SP000244,PBO,LCN,5,2,False,False,False,
SP000245,GLC,LAR,15,34,False,False,True,SP000242
SP000246,DON,LCN,4,10,False,False,True,SP000252
SP000247,SER,SIV,4,22,False,False,True,SP000233
SP000248,MYB,HWY,10,6,False,False,True,SP004161
SP000249,MIA,WDM,17,2,False,False,False,
SP000250,DBL,EDB,12,74,False,False,True,SP000239
SP000251,MIA,CKL,35,2,False,False,False,
SP000252,LCN,DON,4,8,False,False,True,SP000246
SP000253,TWB,EDB,10,63,False,False,True,SP000258
SP000254,SIV,SER,5,2,False,False,True,SP000238
SP000255,BNG,DOG,5,2,False,False,True,SP000218
SP000256,BDM,BLY,12,34,False,False,True,SP000261
SP000257,SPB,IMW,4,20,False,False,True,SP001725
SP000258,EDB,TWB,10,61,False,False,True,SP000253
SP000259,SER,SIV,3,30,False,False,True,SP000265
SP000260,IMW,SRA,25,152,False,False,True,SP000444
SP000261,BLY,BDM,12,34,False,False,True,SP000256
SP000262,EDB,BHG,6,14,False,False,True,SP003397
SP000263,NBW,EDB,7,42,False,False,True,SP000264
SP000264,EDB,NBW,7,34,False,False,True,SP000263
SP000265,SIV,SER,3,30,False,False,True,SP000259
SP000266,EUS,WVH,24,8,False,False,True,SP001805
SP000267,EDB,GLC,21,2,False,False,False,
SP000268,EDB,GLC,21,28,False,False,True,SP000269
SP000269,GLC,EDB,21,30,False,False,True,SP000268
SP000270,CNF,CNF,4,2,True,False,True,SP000270
SP000271,CDF,FGH,18,2,False,False,False,
SP000272,BHM,SSD,27,6,False,False,False,
SP000273,GLM,DFD,13,2,False,False,True,SP002566
SP000274,HUL,LDS,8,6,False,False,True,SP003056
SP000275,LEI,LBO,2,2,False,True,False,
SP000276,WMS,GLC,9,12,False,False,True,SP002296
SP000277,AYW,CMN,4,28,False,False,True,SP000291
SP000278,LBO,LEI,5,2,False,False,False,
SP000279,RCD,LDS,12,30,False,False,True,SP000987
SP000280,GRA,NOT,8,3,False,False,False,
SP000281,BSN,NOT,13,2,False,False,True,SP000329
SP000282,SKG,NOT,17,2,False,False,False,
SP000283,SKG,NOT,13,8,False,False,True,SP000318
SP000284,AYW,CMN,3,4,False,False,True,SP000289
SP000285,SKG,NOT,14,12,False,False,True,SP000316
SP000286,BAL,EBN,18,20,False,False,True,SP001051
SP000287,AYW,CMN,3,2,False,False,True,SP000322
SP000288,WCX,MYB,3,5,False,False,True,SP004608
SP000289,CMN,AYW,3,4,False,False,True,SP000284
SP000290,LWT,CBG,18,4,False,False,False,
SP000291,CMN,AYW,4,28,False,False,True,SP000277
SP000292,SKG,NOT,15,2,False,False,True,SP000320
SP000293,BPN,LIV,13,24,False,False,True,SP000631
SP000294,SKG,NOT,16,2,False,False,False,
SP000295,NRW,LST,17,62,False,False,False,
SP000296,SKG,NOT,14,2,False,False,False,
SP000297,MYB,HWY,10,2,False,False,False,
SP000298,MYB,PRR,10,3,False,False,False,
SP000299,BPN,LIV,16,2,False,False,False,
SP000300,NRW,GYM,7,34,False,False,True,SP002738
SP000301,BPN,LIV,14,2,False,False,False,
SP000302,PRR,MYB,9,1,False,False,True,SP004479
SP000303,SKG,NOT,12,2,False,False,False,
SP000304,CMR,NRW,9,2,False,False,False,
SP000305,MYB,GER,7,1,False,False,True,SP000703
SP000306,OKE,XAZ,3,8,False,False,True,SP000317
SP000307,HYS,CHX,13,72,False,False,True,SP000732
SP000308,WGN,LIV,6,2,False,False,False,
SP000309,LEI,NOT,11,26,False,False,True,SP000312
SP000310,CHN,LST,18,74,False,False,True,SP002473
SP000311,MYB,AYS,14,1,False,False,False,
SP000312,NOT,LEI,11,31,False,False,True,SP000309
SP000313,MYB,OXF,17,1,False,False,True,SP000120
SP000314,BSN,SKG,3,2,False,False,False,
SP000315,PBO,KGX,23,1,False,False,False,
SP000316,NOT,SKG,14,10,False,False,True,SP000285
SP000317,XAZ,OKE,3,8,False,False,True,SP000306
SP000318,NOT,SKG,13,4,False,False,True,SP000283
SP000319,AFK,XVJ,25,6,False,False,False,
SP000320,NOT,SKG,15,2,False,False,True,SP000292
SP000321,NOT,SKG,17,2,False,False,False,
SP000322,CMN,AYW,3,2,False,False,True,SP000287
SP000323,NOT,SKG,16,2,False,False,False,
SP000324,ZEL,SBP,6,150,False,False,True,SP000017
SP000325,OKE,XCV,2,14,False,True,True,SP000344
SP000326,PAD,DID,10,3,False,False,True,SP004238
SP000327,NOT,SKG,15,2,False,False,False,
SP000328,MYB,BMO,23,1,False,False,False,
SP000329,NOT,BSN,13,2,False,False,True,SP000281
SP000330,NOT,BSN,12,2,False,False,False,
SP000331,BAN,MYB,16,1,False,False,False,
SP000332,AYW,DOG,3,2,False,False,True,SP000339
SP000333,SHF,HUL,10,2,False,False,False,
SP000334,ORP,CHX,11,4,False,False,True,SP001138
SP000335,BNG,PGR,3,2,False,False,True,SP000336
SP000336,PGR,BNG,3,2,False,False,True,SP000335
SP000337,CHX,TBW,14,44,False,False,True,SP000363
SP000338,RCD,LDS,13,2,False,False,False,
SP000339,DOG,AYW,3,2,False,False,True,SP000332
SP000340,RDG,GTW,18,2,False,False,False,
SP000341,BEO,NTH,3,24,False,False,True,SP000354
SP000342,ANL,GLQ,8,50,False,False,True,SP000356
SP000343,EUS,WFH,15,147,False,False,True,SP000221
SP000344,XCV,OKE,2,14,False,True,True,SP000325
SP000345,WSW,ORE,43,1,False,False,False,
SP000346,LIT,BAL,24,54,False,False,True,SP001239
SP000347,SAV,WOF,29,2,False,False,False,
SP000348,EPS,XSU,14,69,False,False,True,SP001734
SP000349,CHX,TBW,15,2,False,False,True,SP000376
SP000350,CAT,XSU,13,69,False,False,True,SP002810
SP000351,BAK,SUO,13,28,False,False,True,SP001571
SP000352,BAK,XSU,14,68,False,False,True,SP001762
SP000353,BEO,YST,2,4,False,True,False,
SP000354,NTH,BEO,3,22,False,False,True,SP000341
SP000355,SAV,WOF,29,4,False,False,False,
SP000356,GLQ,ANL,8,50,False,False,True,SP000342
SP000357,BOG,BAL,20,63,False,False,False,
SP000358,BBN,RCD,7,18,False,False,True,SP000390
SP000359,NTH,YST,2,4,False,True,False,
SP000360,HNY,SGQ,5,12,False,False,False,
SP000361,SRA,KWG,24,158,False,False,True,SP000665
SP000362,XSU,OXT,9,1,False,False,False,
SP000363,TBW,CHX,14,42,False,False,True,SP000337
SP000364,PAD,WOF,19,4,False,False,True,SP003845
SP000365,BYC,CEN,2,2,False,True,False,
SP000366,RAM,AFK,13,4,False,False,False,
SP000367,BNG,CEN,4,10,False,False,True,SP000384
SP000368,KWG,WJH,5,4,False,False,True,SP001839
SP000369,EXC,BNP,11,1,False,False,False,
SP000370,LDS,SHF,13,36,False,False,True,SP000160
SP000371,RMF,XUP,3,64,False,False,True,SP000373
SP000372,HHE,EBN,10,1,False,False,False,
SP000373,XUP,RMF,3,64,False,False,True,SP000371
SP000374,BNP,EXD,8,2,False,False,False,
SP000375,BAL,BTN,23,1,False,False,False,
SP000376,TBW,CHX,15,5,False,False,True,SP000349
SP000377,RHY,PEN,21,2,False,False,False,
SP000378,LIT,WSW,37,2,False,False,False,
SP000379,PEN,CDF,4,10,False,False,True,SP000925
SP000380,FRO,WSB,2,4,False,True,True,SP003484
SP000381,BNG,BYC,3,2,False,False,False,
SP000382,WGN,LIV,13,64,False,False,True,SP000970
SP000383,BTN,BAL,13,57,False,False,True,SP001295
SP000384,CEN,BNG,4,12,False,False,True,SP000367
SP000385,MAI,MLW,5,24,False,False,True,SP000029
SP000386,RCD,LDS,11,26,False,False,True,SP000399
SP000387,MLW,BNE,2,28,False,True,True,SP000393
SP000388,AYR,STR,5,6,False,False,True,SP001525
SP000389,MAI,BNE,4,28,False,False,True,SP000026
SP000390,RCD,BBN,7,20,False,False,True,SP000358
SP000391,RHY,BYI,24,2,False,False,False,
SP000392,EUS,LIV,26,28,False,False,True,SP000430
SP000393,BNE,MLW,2,28,False,True,True,SP000387
SP000394,MST,EBB,20,5,False,False,True,SP000886
SP000395,PTM,BFF,2,20,False,True,True,SP000411
SP000396,REI,BAL,10,67,False,False,True,SP000646
SP000397,MAN,EUS,25,59,False,False,True,SP000398
SP000398,EUS,MAN,25,63,False,False,True,SP000397
SP000399,LDS,RCD,11,36,False,False,True,SP000386
SP000400,CFS,BFF,4,10,False,False,True,SP000407
SP000401,EUS,BHM,19,46,False,False,True,SP000402
SP000402,BHM,EUS,19,50,False,False,True,SP000401
SP000403,GLQ,OBN,23,2,False,False,False,
SP000404,TRN,TRN,1,12,True,False,True,SP000404
SP000405,ADR,BHC,28,54,False,False,True,SP003655
SP000406,SHF,MAN,16,30,False,False,True,SP001221
SP000407,BFF,CFS,4,8,False,False,True,SP000400
SP000408,PTM,CFS,3,4,False,False,True,SP000427
SP000409,BHM,WOS,11,8,False,False,True,SP002134
SP000410,BFR,BKJ,6,6,False,False,True,SP004508
SP000411,BFF,PTM,2,24,False,True,True,SP000395
SP000412,STP,NOT,19,36,False,False,True,SP001296
SP000413,CHX,GRV,20,68,False,False,True,SP004493
SP000414,LEE,CST,21,4,False,False,False,
SP000415,STP,NOT,17,24,False,False,True,SP000417
SP000416,SHF,STP,22,32,False,False,True,SP000717
SP000417,NOT,STP,17,25,False,False,True,SP000415
SP000418,YRK,NCL,7,2,False,False,True,SP003157
SP000419,OXP,BNS,15,2,False,False,False,
SP000420,MBR,NCL,12,10,False,False,True,SP001650
SP000421,HUL,SHF,11,2,False,False,True,SP000705
SP000422,NOT,STP,18,2,False,False,True,SP000432
SP000423,EDB,NCL,10,14,False,False,True,SP000435
SP000424,NNT,NCL,16,18,False,False,True,SP003082
SP000425,BDT,SHF,18,2,False,False,False,
SP000426,BMN,GRP,3,84,False,False,True,SP000429
SP000427,CFS,PTM,3,2,False,False,True,SP000408
SP000428,SOP,MCV,20,2,False,False,False,
SP000429,GRP,BMN,3,84,False,False,True,SP000426
SP000430,LIV,EUS,26,29,False,False,True,SP000392
SP000431,SOP,MCV,21,2,False,False,False,
SP000432,STP,NOT,18,8,False,False,True,SP000422
SP000433,BDT,SHF,17,2,False,False,True,SP000696
SP000434,YRK,SCA,4,32,False,False,True,SP000641
SP000435,NCL,EDB,10,16,False,False,True,SP000423
SP000436,CTR,EUS,20,12,False,False,True,SP002872
SP000437,SBP,KNT,4,2,False,False,False,
SP000438,ZEL,KNT,9,156,False,False,True,SP000008
SP000439,MAN,YRK,14,24,False,False,False,
SP000440,SCA,SHF,20,18,False,False,True,SP000666
SP000441,ASL,NCL,7,22,False,False,True,SP000618
SP000442,KGX,SVG,18,2,False,False,False,
SP000443,NCL,ASL,8,42,False,False,True,SP000671
SP000444,SRA,IMW,25,152,False,False,True,SP000260
SP000445,EDB,BHM,33,2,False,False,True,SP000480
SP000446,SCA,SHF,19,4,False,False,False,
SP000447,EAD,DKG,11,41,False,False,True,SP000947
SP000448,COL,LST,23,1,False,False,False,
SP000449,MBR,MCE,10,2,False,False,False,
SP000450,KGX,EDB,33,51,False,False,False,
SP000451,MBR,NCL,8,2,False,False,False,
SP000452,EXD,BNP,8,2,False,False,False,
SP000453,MIA,SCA,19,1,False,False,False,
SP000454,HUL,SHF,13,2,False,False,False,
SP000455,NCL,MPT,4,30,False,False,True,SP000785
SP000456,EXD,BNP,12,2,False,False,False,
SP000457,EXC,BNP,10,4,False,False,True,SP000897
SP000458,RET,LDS,14,2,False,False,False,
SP000459,WEY,NEM,28,2,False,False,False,
SP000460,MCN,PWL,27,16,False,False,True,SP000092
SP000461,EXC,BNP,10,4,False,False,True,SP000901
SP000462,PAD,OXF,8,5,False,False,True,SP002220
SP000463,NEM,WEY,26,8,False,False,False,
SP000464,EXC,BNP,9,12,False,False,True,SP000907
SP000465,LCN,LDS,16,26,False,False,True,SP000467
SP000466,DID,BAN,9,16,False,False,False,
SP000467,LDS,LCN,16,26,False,False,True,SP000465
SP000468,LDS,SHF,13,2,False,False,True,SP002286
SP000469,NRW,CBG,10,8,False,False,True,SP002412
SP000470,MCV,CLH,14,2,False,False,True,SP004474
SP000471,EXC,BNP,12,2,False,False,False,
SP000472,CDF,BGN,11,6,False,False,True,SP001344
SP000473,EXC,BNP,14,2,False,False,True,SP000902
SP000474,MCV,CLH,13,32,False,False,True,SP000148
SP000475,EXC,BNP,10,2,False,False,False,
SP000476,RDG,NCL,35,4,False,False,True,SP001659
SP000477,CHX,GLM,22,2,False,False,False,
SP000478,CNM,SWI,6,2,False,False,True,SP004491
SP000479,RAM,XVJ,29,2,False,False,True,SP000599
SP000480,BHM,EDB,33,4,False,False,True,SP000445
SP000481,DVP,XVJ,31,27,False,False,True,SP000587
SP000482,PLY,PNZ,14,12,False,False,True,SP002649
SP000483,NOT,CDF,32,20,False,False,True,SP001558
SP000484,BRI,WSB,9,7,False,False,True,SP002417
SP000485,MAN,CTR,8,4,False,False,True,SP001500
SP000486,EXD,PNZ,23,2,False,False,False,
SP000487,DVP,XVJ,32,1,False,False,False,
SP000488,PLY,PNZ,18,2,False,False,False,
SP000489,CTR,MAN,7,2,False,False,False,
SP000490,STR,GLC,14,2,False,False,False,
SP000491,RAM,XVJ,31,22,False,False,False,
SP000492,GLC,PLY,63,4,False,False,False,
SP000493,BRI,FRO,10,3,False,False,True,SP002687
SP000494,HUL,YRK,9,2,False,False,True,SP002547
SP000495,EDB,ABD,16,20,False,False,True,SP001100
SP000496,DVP,FAV,11,16,False,False,True,SP000585
SP000497,KMK,STR,9,4,False,False,True,SP001528
SP000498,RAM,XVJ,30,8,False,False,True,SP000584
SP000499,PTH,EDB,16,4,False,False,False,
SP000500,LEV,EDB,16,32,False,False,True,SP003394
SP000501,LDS,YRK,7,33,False,False,True,SP000505
SP000502,EDB,HLC,30,10,False,False,False,
SP000503,RAM,XVJ,32,2,False,False,True,SP001887
SP000504,SHF,RET,8,2,False,False,True,SP002933
SP000505,YRK,LDS,7,31,False,False,True,SP000501
SP000506,BDQ,KGX,23,14,False,False,False,
SP000507,HFD,WOS,9,3,False,False,True,SP002142
SP000508,LDS,SHF,6,2,False,False,False,
SP000509,WTH,CKL,2,18,False,True,True,SP000512
SP000510,PRR,AYS,4,29,False,False,True,SP000572
SP000511,SKI,KGX,24,2,False,False,False,
SP000512,CKL,WTH,2,18,False,True,True,SP000509
SP000513,SHF,LDS,5,32,False,False,True,SP000515
SP000514,EVE,OXF,8,2,False,False,False,
SP000515,LDS,SHF,5,32,False,False,True,SP000513
SP000516,LDS,KGX,21,33,False,False,False,
SP000517,EXM,EXD,11,6,False,False,True,SP000038
SP000518,PGN,EXD,10,2,False,False,False,
SP000519,LCN,KGX,16,12,False,False,False,
SP000520,LDS,CAR,23,2,False,False,False,
